cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00084__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
1.542531120331950278e+00,-9.948132780082987736e-01,-2.551867219917012264e-01,1.829875518672199108e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-4.253112033195020902e-02,-2.212655601659751170e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.126556016597510451e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.506224066390041805e-02,-6.379668049792530660e-02,0.000000000000000000e+00,6.379668049792530660e-02,4.362033195020746483e-03,0.000000000000000000e+00,6.379668049792530660e-02
2.045238095238095255e+01,-1.022619047619047628e+01,0.000000000000000000e+00,1.200000000000000000e+01,2.738095238095238360e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-1.027380952380952372e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,-1.369047619047619180e-01,0.000000000000000000e+00,1.369047619047619180e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.369047619047619180e-01
2.179090909090908923e+01,-9.963636363636362958e+00,0.000000000000000000e+00,1.696363636363636473e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.654545454545454319e+00,-1.000000000000000000e+00,3.713286713286713114e-01,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.574545454545454390e+02,-4.880000000000000000e+02,-1.000000000000000000e+00,3.583636363636363740e+02,0.000000000000000000e+00,0.000000000000000000e+00,-9.609090909090909349e+01,1.921818181818181870e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.921818181818181870e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.935222672064777605e+00,-4.965587044534412797e+00,-2.574898785425101089e+00,4.858299595141700067e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.291497975708502000e-01,-3.145748987854251055e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.145748987854251000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.287449392712550544e+00,8.582995951417003999e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.429577464788732399e+01,-5.545774647887323994e+00,0.000000000000000000e+00,1.179577464788732399e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-3.799295774647887480e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.596111111111111143e+02,-6.166666666666666430e+01,0.000000000000000000e+00,7.955555555555555713e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,-7.255555555555555713e+01,0.000000000000000000e+00,2.790598290598290454e+00,0.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00,5.000000000000000000e-01,3.527777777777778012e-01,0.000000000000000000e+00,5.000000000000000000e-01
5.910000000000000142e+01,-2.930000000000000071e+01,0.000000000000000000e+00,4.379999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.460000000000000142e+01,0.000000000000000000e+00,9.461538461538461231e-01,2.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.812195121951219789e+01,-1.806097560975609895e+01,-6.000000000000000000e+00,7.341463414634147000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-3.670731707317073500e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,-1.000000000000000000e+00,2.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.207317073170732058e-02,0.000000000000000000e+00,1.000000000000000000e+00
5.946808510638297918e+01,-2.323404255319148959e+01,0.000000000000000000e+00,2.799148936170212920e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.991489361702127647e+00,0.000000000000000000e+00,9.957446808510638236e-01,-2.500425531914893540e+01,-9.957446808510638236e-01,1.000000000000000000e+00,0.000000000000000000e+00,-3.982978723404255295e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.250212765957446903e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.324636363636363399e+02,-1.457545454545454504e+02,0.000000000000000000e+00,2.532545454545454504e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.584181818181818073e+02,-4.000000000000000000e+00,6.016083916083916350e+00,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
6.112676056338028019e+00,-6.612676056338028019e+00,0.000000000000000000e+00,7.112676056338028019e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.852112676056338003e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.960975609756097526e+01,-2.180487804878048763e+01,0.000000000000000000e+00,2.107317073170731803e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.053658536585365901e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.153658536585365907e-01,0.000000000000000000e+00,0.000000000000000000e+00
