cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00281__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
2.558636363636363598e+01,-1.889545454545454461e+01,0.000000000000000000e+00,1.464545454545454461e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-2.881818181818181834e+00,-1.000000000000000000e+00,1.108391608391608441e-01,0.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.281250000000000000e+00,-5.468750000000000000e-01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.812500000000000000e-01,0.000000000000000000e+00,-1.593750000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,-2.812500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.762727272727272521e+01,-4.640454545454545610e+01,0.000000000000000000e+00,2.814545454545454461e+01,0.000000000000000000e+00,1.007272727272727231e+01,0.000000000000000000e+00,1.655454545454545467e+01,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.036363636363636154e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,-3.262727272727272521e+01,0.000000000000000000e+00,-2.277272727272727337e+00,3.518181818181818077e+00,2.277272727272727337e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.277272727272727337e+00
1.000000000000000000e+00,-4.658211521926053367e-01,-3.662940670679277755e-01,4.810834049871023366e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.104901117798796489e-02,0.000000000000000000e+00,-6.104901117798796489e-02,-4.273430782459157196e-01,0.000000000000000000e+00,3.052450558899398245e-02,-1.913155631986242569e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.831470335339638877e-01,0.000000000000000000e+00,1.220980223559759298e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.298437500000000000e+03,-1.182812500000000000e+03,0.000000000000000000e+00,2.593750000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,-5.937500000000000000e+01,5.187500000000000000e+02,-1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.283653846153846256e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.187500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.174647887323943607e+01,-9.746478873239436069e+00,0.000000000000000000e+00,1.574647887323943607e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.957746478873239493e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
5.227272727272727515e+00,-2.363636363636363757e+00,0.000000000000000000e+00,2.969696969696969724e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-3.469696969696969724e+00,0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,-9.848484848484848619e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.924242424242423859e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.766666666666666970e+03,-8.333333333333333712e+02,0.000000000000000000e+00,6.008333333333333030e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.662500000000000000e+03,-3.416666666666666856e+02,0.000000000000000000e+00,6.833333333333333712e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.611111111111111427e+01,-4.766666666666666430e+01,0.000000000000000000e+00,4.911111111111111427e+01,0.000000000000000000e+00,2.311111111111111072e+01,-2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.311111111111111072e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.041666666666666785e+01,-1.191666666666666607e+01,0.000000000000000000e+00,1.096428571428571352e+01,0.000000000000000000e+00,7.738095238095238360e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-9.869047619047618625e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-7.738095238095238360e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-7.095238095238094900e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.738095238095238360e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
