cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00053__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
3.063043478260869506e+03,-6.847826086956521294e+02,0.000000000000000000e+00,3.096739130434782510e+03,0.000000000000000000e+00,0.000000000000000000e+00,-8.913043478260870245e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.325543478260869506e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.119565217391304373e+02,-1.336956521739130324e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.456521739130435122e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.633802816901408406e+01,-2.838028169014084501e+00,0.000000000000000000e+00,1.733802816901408406e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.556338028169014009e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.488888888888888928e+00,-1.011111111111111072e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.511111111111111072e+00,-1.629629629629629761e-01,-1.000000000000000000e+00,-9.777777777777777457e-01,0.000000000000000000e+00,8.148148148148148806e-02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.148148148148147635e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.916666666666666430e+01,-7.366666666666667140e+01,0.000000000000000000e+00,9.450000000000000000e+01,3.416666666666666430e+01,6.233333333333333570e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-3.216666666666666430e+01,-3.941666666666666430e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,-3.816666666666666430e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.329268292682926855e+01,-6.146341463414634276e+00,-6.000000000000000000e+00,8.195121951219512368e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-5.097560975609756184e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.597560975609756212e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-2.793666666666666742e+02,0.000000000000000000e+00,1.978000000000000114e+02,2.064666666666666686e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.124666666666666686e+02,-2.000000000000000000e+00,-1.978000000000000114e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.866666666666666785e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-1.366666666666666607e+01,0.000000000000000000e+00,1.366666666666666607e+01,1.033333333333333326e-01,0.000000000000000000e+00,1.366666666666666607e+01
2.155251141552511296e+00,-1.015981735159817267e+00,0.000000000000000000e+00,1.812785388127853947e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.872146118721461083e-01,-1.872146118721461083e-01,-2.561643835616438380e+00,0.000000000000000000e+00,9.360730593607305416e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.872146118721461083e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.870731707317073145e+01,-3.853658536585365724e+00,0.000000000000000000e+00,2.980487804878048763e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.440243902439024382e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.902439024390243857e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.920606060606060623e+02,-1.852575757575757507e+02,-3.200000000000000000e+01,1.137272727272727337e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.571212121212121247e+02,-4.666666666666666963e+00,-1.117272727272727337e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.333333333333333481e+00,-2.000000000000000000e+00,-1.163939393939393909e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.766666666666666430e+01,1.033333333333333393e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.929577464788732044e+00,-4.929577464788732044e+00,0.000000000000000000e+00,6.929577464788732044e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.154929577464788526e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
