cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00023__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00281__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,GS_tag__91__c0__93__,objective
1.395804195804195842e+03,-1.217482517482517551e+03,0.000000000000000000e+00,3.062937062937062933e+02,1.000000000000000000e+02,0.000000000000000000e+00,2.657342657342657333e+01,0.000000000000000000e+00,4.797202797202797342e+02,-1.132867132867132938e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.664335664335664688e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.860139860139860275e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.328671328671328666e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.095454545454545325e+01,-5.147727272727272663e+01,-4.595454545454545325e+01,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.131818181818181657e+01,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,-2.331818181818181657e+01,1.531818181818181834e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.110038610038610152e+00,-4.557915057915058021e+00,0.000000000000000000e+00,2.003861003861004075e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.602316602316602223e+00,-2.007722007722007596e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.003861003861003798e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.073953073953073975e-02,0.000000000000000000e+00,-1.401544401544401630e+00,-1.803088803088803038e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.326902173913043548e+01,-1.144972826086956452e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,4.953804347826086918e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.619565217391304046e-02,0.000000000000000000e+00,-8.953804347826087806e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.152173913043478035e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.043000000000000000e+03,-9.755000000000000000e+02,-7.080000000000000000e+02,9.570000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.180000000000000000e+02,-6.950000000000000000e+02,0.000000000000000000e+00,5.900000000000000000e+01,-8.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.540000000000000000e+02,-1.880000000000000000e+02,2.360000000000000000e+02,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+01,0.000000000000000000e+00
3.480813684697179777e+00,-3.061026352288488184e+00,-1.086453999075358279e-02,1.000000000000000000e+00,3.097549699491446984e-01,4.022191400832177410e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.716134997688395281e-01,-2.880258899676375606e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.440129449838187803e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.347665279704114649e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.086453999075358279e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.350898770104068092e+01,-9.244087038789025712e+00,-8.656575212866603197e-02,3.749290444654683085e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-1.731315042573320639e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.656575212866603197e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.769090909090909136e+01,-7.763636363636363669e+00,-2.036363636363636154e+00,2.630909090909090864e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.383636363636363598e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.016363636363636402e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,5.090909090909090384e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.090909090909090384e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856656e+02,-2.476190476190476204e+02,0.000000000000000000e+00,8.507936507936508406e+02,0.000000000000000000e+00,6.507936507936507553e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.928571428571428328e+02,-6.507936507936507553e+01,0.000000000000000000e+00,6.507936507936507553e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.253968253968253777e+01,0.000000000000000000e+00,3.253968253968253777e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.507936507936507553e+01,3.253968253968253777e+01
2.193939393939393767e+01,-1.578181818181818130e+01,-6.262626262626262708e-02,4.125252525252525615e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.262626262626262985e-01,7.252525252525252597e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.002020202020201811e+00,-1.025050505050505123e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.262626262626262708e-02,5.010101010101010166e-01,0.000000000000000000e+00
