cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00023__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
3.680769230769230660e+01,-2.321153846153845990e+01,-1.200000000000000000e+01,2.580769230769230660e+01,0.000000000000000000e+00,-2.380769230769230660e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.580769230769230838e+01,-2.000000000000000000e+00,-1.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.216129032258064768e+01,-2.756451612903225978e+01,0.000000000000000000e+00,2.780645161290322420e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.967741935483870996e+00,0.000000000000000000e+00,-4.967741935483870996e+00,-2.083870967741935587e+01,0.000000000000000000e+00,2.483870967741935498e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.490322580645161210e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.782178217821781985e+00,-2.173267326732673421e+00,0.000000000000000000e+00,2.376237623762376128e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.059405940594059542e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.191346153846154010e+01,-3.512019230769230660e+01,-1.000000000000000000e+00,4.016346153846154010e+01,0.000000000000000000e+00,-3.816346153846154010e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.766346153846154010e+01,-3.500000000000000000e+00,-2.100000000000000000e+01,0.000000000000000000e+00,1.750000000000000000e+00,-5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.892857142857142776e+02,-1.339285714285714164e+02,0.000000000000000000e+00,2.107142857142857224e+02,0.000000000000000000e+00,-1.071428571428571352e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.678571428571428470e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+02,0.000000000000000000e+00,7.692307692307692513e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.678571428571428381e+00,5.357142857142856762e+00,2.678571428571428381e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.678571428571428381e+00
1.318571428571428612e+02,-9.100000000000000000e+01,-7.800000000000000000e+01,2.117142857142857224e+02,2.414285714285714235e+01,-9.657142857142856940e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.191428571428571388e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,2.414285714285714235e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.738775510204081343e+01,-2.222448979591836604e+01,-1.371428571428571352e+01,3.763265306122448806e+01,2.000000000000000000e+00,-1.938775510204081698e+01,1.738775510204081698e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-3.181632653061224403e+01,0.000000000000000000e+00,1.000000000000000000e+00,-8.571428571428570953e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,4.428571428571428825e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.285714285714285476e-01,0.000000000000000000e+00
2.867816091954022983e+00,-1.798850574712643757e+00,0.000000000000000000e+00,2.344827586206896353e+00,1.494252873563218509e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.195402298850574807e+00,0.000000000000000000e+00,5.172413793103448204e-02,1.494252873563218509e-01,-1.494252873563218509e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.147058823529411686e+00,-1.308823529411764719e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.911764705882352811e-01,1.000000000000000000e+00,-1.911764705882352811e-01,-9.558823529411765163e-01,0.000000000000000000e+00,9.558823529411764053e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.735294117647058432e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.867647058823529459e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.269230769230769340e+01,-6.303846153846154010e+01,-1.200000000000000000e+01,4.469230769230769340e+01,0.000000000000000000e+00,-4.469230769230769340e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.469230769230769340e+01,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.999999999999999667e-02,0.000000000000000000e+00,5.000000000000000000e+00
