cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00129__91__e0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
1.773351548269581031e+02,-8.569581056466302016e+01,-9.220765027322404706e+01,9.220765027322404706e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.367941712204007398e+00,-4.494353369763205563e+01,0.000000000000000000e+00,1.183970856102003699e+00,-2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.420765027322404350e+01,3.073588342440801569e+01,0.000000000000000000e+00,2.367941712204007398e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.383030897498773948e+00,-1.017410495340853371e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.089259440902403175e-01,-6.964198136341344381e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.482099068170672190e-02,-2.827366356056890684e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.089259440902403175e-01,0.000000000000000000e+00,-1.044629720451201588e-01,0.000000000000000000e+00,1.044629720451201588e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.044629720451201588e-01
1.216981132075471761e+00,-3.750000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.783018867924527961e-02,-1.233490566037735769e+00,0.000000000000000000e+00,3.891509433962263981e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.334905660377358527e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.889150943396226207e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.105555555555555713e+01,-2.433333333333333215e+01,0.000000000000000000e+00,3.877777777777777857e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.677777777777777857e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.414529914529914612e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.488888888888888762e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.101818181818181586e+01,-2.487272727272727124e+01,0.000000000000000000e+00,4.087272727272727479e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.429090909090908923e+01,0.000000000000000000e+00,-2.000000000000000000e+00,9.342657342657342268e-01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.028169014084507893e+00,-7.278169014084507005e+00,0.000000000000000000e+00,8.194835680751173967e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666574e-01,-2.588028169014084501e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.929577464788732044e+00,-2.929577464788732488e+00,0.000000000000000000e+00,9.929577464788732044e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.654929577464788526e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.283400809716598978e+00,-9.716599190283400356e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.044534412955465452e-01,-6.133603238866396357e-01,0.000000000000000000e+00,1.022267206477732726e-01,-2.044534412955465452e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.133603238866396357e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.589068825910931130e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.875609756097560421e+01,-7.125609756097560421e+01,-1.000000000000000000e+00,8.775609756097560421e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943902439024390105e+01,0.000000000000000000e+00,-3.343902439024390105e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.143902439024390105e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.943902439024390105e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.562121212121212110e+01,-1.031818181818181834e+01,0.000000000000000000e+00,1.348484848484848442e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.666666666666666297e-01,-4.666666666666666963e+00,0.000000000000000000e+00,3.333333333333333148e-01,-4.272727272727272485e+00,0.000000000000000000e+00,-1.333333333333333259e+00,1.386946386946386889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.439024390243902829e+00,-4.552845528455284452e+00,0.000000000000000000e+00,5.292682926829268553e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.646341463414634054e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333148e-01,0.000000000000000000e+00,1.479674796747967522e-02,0.000000000000000000e+00,0.000000000000000000e+00
