cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00051__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
6.622222222222222854e+01,-2.583333333333333215e+01,0.000000000000000000e+00,3.411111111111111427e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.211111111111111427e+01,0.000000000000000000e+00,1.235042735042735096e+00,0.000000000000000000e+00,-2.500000000000000000e+00,0.000000000000000000e+00,-2.500000000000000000e-01,5.000000000000000000e-01,2.500000000000000000e-01,1.555555555555555580e-01,0.000000000000000000e+00,2.500000000000000000e-01
2.535000000000000142e+01,-4.662500000000000000e+01,0.000000000000000000e+00,1.680500000000000114e+02,0.000000000000000000e+00,9.225000000000000000e+01,-9.325000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-3.689999999999999858e+01,-2.078000000000000114e+02,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.499999999999999944e-01,-3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.844999999999999929e+01,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.026415094339622769e+01,-2.076886792452830122e+01,-2.000000000000000000e+00,2.801886792452830122e+01,1.025471698113207530e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.075471698113207530e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.025471698113207530e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
7.510277777777778283e+02,-2.460000000000000000e+02,0.000000000000000000e+00,3.963888888888889142e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.333333333333333481e+00,0.000000000000000000e+00,-8.333333333333333703e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.166666666666666852e-01,-3.927222222222222285e+02,0.000000000000000000e+00,1.510470085470085522e+01,9.666666666666666075e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.585277777777777786e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.230555555555555713e+01,-4.134722222222222143e+01,0.000000000000000000e+00,1.489166666666666572e+02,0.000000000000000000e+00,8.102777777777777146e+01,-8.269444444444444287e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-3.294444444444444287e+01,-1.847777777777777715e+02,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.333333333333332871e-02,-1.666666666666666741e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.647222222222222143e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-3.083536585365853711e+01,0.000000000000000000e+00,6.817073170731707421e+01,4.462804878048780211e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.458536585365853711e+01,-5.192073170731707421e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.300000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.082317073170731447e+00,7.292682926829268553e+00,4.082317073170731447e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.082317073170731447e+00
5.705555555555555713e+01,-2.033333333333333215e+01,0.000000000000000000e+00,2.677777777777777857e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-2.477777777777777857e+01,0.000000000000000000e+00,9.529914529914529364e-01,0.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.338888888888888906e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.682926829268292401e+00,-4.341463414634146645e+00,0.000000000000000000e+00,4.121951219512195230e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.060975609756097615e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.560975609756097560e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.941000000000000227e+02,-6.682000000000000455e+02,-3.900000000000000000e+01,7.617999999999999545e+02,3.873999999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.003999999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-3.873999999999999773e+02,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.872000000000000108e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.965625000000000000e+01,-1.340625000000000000e+01,0.000000000000000000e+00,1.665625000000000000e+01,0.000000000000000000e+00,3.656250000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.300000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-3.656250000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-8.315217391304347672e+00,-6.000000000000000000e+00,2.648550724637681242e+01,2.154528985507246475e+01,8.550724637681159646e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-8.960144927536232373e+00,-3.302536231884057827e+01,0.000000000000000000e+00,5.000000000000000000e-01,-8.550724637681159646e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.480072463768116187e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
