cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00039__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
1.600000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00,9.666666666666666075e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666574e-01,-6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000028e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.050000000000000000e+01,-5.581521739130434590e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.326086956521738580e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-5.067391304347825809e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.202173913043478315e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.739130434782608647e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.812500000000000000e+02,-1.392857142857142776e+02,0.000000000000000000e+00,1.946428571428571388e+02,5.357142857142856762e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.357142857142856762e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+02,0.000000000000000000e+00,7.486263736263736313e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.357142857142856762e+00,0.000000000000000000e+00,5.357142857142856762e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.357142857142856762e+00
1.418032786885245811e+00,-1.549180327868852514e+00,0.000000000000000000e+00,1.786885245901639330e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,2.622950819672131284e-01,0.000000000000000000e+00,-1.737704918032786816e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.837326607818410965e-02,0.000000000000000000e+00,-2.622950819672131284e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.119512195121951237e+01,-3.597560975609756184e+00,0.000000000000000000e+00,1.046341463414634099e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.231707317073170493e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.317073170731707744e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.018987341772152000e+00,-7.120253164556962222e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.898734177215189931e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.898734177215189931e-02,-9.493670886075949999e-02,0.000000000000000000e+00,9.493670886075949653e-03,-9.810126582278481111e-01,0.000000000000000000e+00,3.700097370983446848e-02,0.000000000000000000e+00,-1.898734177215189931e-02,0.000000000000000000e+00,-1.898734177215189931e-02,0.000000000000000000e+00,1.898734177215189931e-02,4.905063291139240625e-03,0.000000000000000000e+00,1.898734177215189931e-02
2.157894736842105310e+00,-2.210526315789473895e+00,0.000000000000000000e+00,2.526315789473684070e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.631578947368420907e-01,0.000000000000000000e+00,-1.263157894736842035e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.631578947368420907e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.263157894736842035e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.315789473684210384e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.112676056338028019e+00,-6.612676056338028019e+00,0.000000000000000000e+00,7.112676056338028019e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.852112676056338003e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.323484848484848442e+01,-9.522727272727273373e+00,0.000000000000000000e+00,1.643939393939393767e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666574e-01,-1.025757575757575779e+01,0.000000000000000000e+00,3.817016317016316829e-01,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.012195121951219789e+01,-6.262195121951219789e+01,-1.000000000000000000e+00,7.712195121951219789e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.578048780487804947e+01,0.000000000000000000e+00,-2.578048780487804947e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-2.578048780487804947e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.578048780487804947e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
