cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00161__91__e0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
8.146341463414634632e+01,-2.873170731707316961e+01,-1.200000000000000000e+01,5.097560975609756184e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,-2.348780487804878092e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.548780487804878092e-01,0.000000000000000000e+00,3.000000000000000000e+00
1.536507936507936620e+03,-2.476190476190476204e+02,-6.507936507936507553e+01,1.241269841269841208e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.857142857142856656e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.507936507936507553e+01,0.000000000000000000e+00
3.686507936507936289e+00,-2.343253968253968367e+00,0.000000000000000000e+00,2.666666666666666519e+00,4.067460317460317443e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.333333333333333148e-01,-1.406746031746031855e+00,0.000000000000000000e+00,1.666666666666666574e-01,-3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.033730158730158721e-01,0.000000000000000000e+00,2.033730158730158721e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.033730158730158721e-01
2.384810126582278372e+03,-1.020253164556962020e+03,0.000000000000000000e+00,1.134177215189873323e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.556962025316455822e+02,0.000000000000000000e+00,-2.556962025316455822e+02,-1.278481012658227883e+03,0.000000000000000000e+00,1.278481012658227911e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.670886075949366614e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.039436619718309629e+01,-2.812676056338028019e+01,-1.200000000000000000e+01,3.785915492957746409e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.246478873239436602e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-3.492957746478873560e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.358536585365853711e+01,-1.902439024390243816e+01,0.000000000000000000e+00,2.642276422764227561e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.341463414634146423e-01,-2.113821138211382233e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.056910569105691117e-01,-2.726829268292683039e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.341463414634146423e-01,0.000000000000000000e+00,6.341463414634146423e-01,1.363414634146341564e-01,0.000000000000000000e+00,6.341463414634146423e-01
3.346478873239436780e+01,-2.496478873239436780e+01,0.000000000000000000e+00,3.246478873239436780e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,-6.077464788732394041e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
3.599090909090909207e+01,-2.506363636363636260e+01,0.000000000000000000e+00,1.856363636363636260e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.854545454545454497e+00,0.000000000000000000e+00,3.286713286713286580e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.383098591549295797e+01,-8.580985915492957972e+00,0.000000000000000000e+00,1.133098591549295797e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-2.221830985915492995e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.170000000000000000e+02,-5.200000000000000000e+01,-7.800000000000000000e+01,6.066666666666666430e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.333333333333333570e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.733333333333333215e+01,-8.666666666666666075e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
