cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00069__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
1.542531120331950278e+00,-9.948132780082987736e-01,-2.551867219917012264e-01,1.829875518672199108e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-4.253112033195020902e-02,-2.212655601659751170e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.126556016597510451e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.506224066390041805e-02,-6.379668049792530660e-02,0.000000000000000000e+00,6.379668049792530660e-02,4.362033195020746483e-03,0.000000000000000000e+00,6.379668049792530660e-02
1.330188679245283057e+00,-6.250000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,-9.669811320754717610e-02,-1.290094339622641417e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.834905660377358805e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.900943396226415283e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.983490566037735880e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.179090909090908923e+01,-9.963636363636362958e+00,0.000000000000000000e+00,1.696363636363636473e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.654545454545454319e+00,-1.000000000000000000e+00,3.713286713286713114e-01,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.574545454545454390e+02,-4.880000000000000000e+02,-1.000000000000000000e+00,3.583636363636363740e+02,0.000000000000000000e+00,0.000000000000000000e+00,-9.609090909090909349e+01,1.921818181818181870e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.921818181818181870e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.715447154471544877e+01,-1.740650406504065018e+01,-4.000000000000000000e+00,3.265040650406503886e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.832520325203251943e+01,0.000000000000000000e+00,-6.666666666666666297e-01,-3.998373983739837456e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.333333333333333259e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.495934959349593640e-02,0.000000000000000000e+00,1.000000000000000000e+00
8.812195121951219789e+01,-1.806097560975609895e+01,-6.000000000000000000e+00,7.341463414634147000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-3.670731707317073500e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,-1.000000000000000000e+00,2.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.207317073170732058e-02,0.000000000000000000e+00,1.000000000000000000e+00
8.875609756097560421e+01,-7.125609756097560421e+01,-1.000000000000000000e+00,8.775609756097560421e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943902439024390105e+01,0.000000000000000000e+00,-3.343902439024390105e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.143902439024390105e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.943902439024390105e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.112676056338028019e+00,-6.612676056338028019e+00,0.000000000000000000e+00,7.112676056338028019e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.852112676056338003e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.780487804878048586e+00,-1.390243902439024293e+00,0.000000000000000000e+00,1.853658536585365946e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.333333333333333148e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666574e-01,-9.268292682926829729e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.093495934959349582e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.075000000000000000e+02,-3.550000000000000000e+02,0.000000000000000000e+00,5.587500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.537500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.256250000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.537500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.125000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
